id,timestamp,content,length
1468210813,Tue Apr 07 00:19:09 PDT 2009,@tommcfly hey saw u guys play @ pushover..didn't get 2 meet u tho cuz of th HUGE line  i was very upset ='( lol..a msg would make up 4 it!,138
1468233211,Tue Apr 07 00:26:52 PDT 2009,@tommcfly Good morning Tom! Why can't I send you a message? This is too short for the question I have  Well to bad for me I guess..,131
1468391638,Tue Apr 07 01:23:07 PDT 2009,@tommcfly did you know that johnsons baby use animals like cute bunnies to test their products? ,96
1468502040,Tue Apr 07 02:03:41 PDT 2009,"@dougiemcfly @tommcfly good morning guys, how are you all? You know, it's frustrating, I never get a reply  ",108
1468618787,Tue Apr 07 02:46:02 PDT 2009,"@tommcfly hey, no chance of adding brighton or eastbourne to the UCAP tour? gutted im missing out this time round  i love you guys!",131
1468674970,Tue Apr 07 03:05:49 PDT 2009,"@tommcfly have fun tom, i need to buy eclipse too but i have no money. sad timess ",82
1468945705,Tue Apr 07 04:31:47 PDT 2009,@tommcfly are you coming to play at Plymouth again this year cus i cant go to the ucap tour cus you arent coming anywhere near me  oxo,134
1469438932,Tue Apr 07 06:23:07 PDT 2009,@tommcfly :O starbucks! never tehe oooh now i want one ,55
1469466152,Tue Apr 07 06:28:08 PDT 2009,@tommcfly aw i want a starbucks ,32
1470070258,Tue Apr 07 08:15:31 PDT 2009,@tommcfly i have to still read eclipse as well! don't watch twilight the movie though if you want to keep liking the books. movie's bad ,136
1550756646,Sat Apr 18 07:10:30 PDT 2009,@tommcfly http://twitpic.com/3iquy - i miss your old hairstyle daniel  but you still look great,95
1551392511,Sat Apr 18 08:56:22 PDT 2009,@tommcfly hoping you love amsterdam! enjoy your sunbathing? lol its cloudy over here in america ,96
1551586698,Sat Apr 18 09:26:57 PDT 2009,@tommcfly I wish i'd be there with you guys ,44
1551745459,Sat Apr 18 09:51:55 PDT 2009,@tommcfly awww  when are you coming back? because are you going to the star trek premier? xx,92
1551773189,Sat Apr 18 09:56:15 PDT 2009,"@tommcfly i feel sad, i couldn't travel to see you guys in Amsterdam!  can you come to Norway soon?",99
1551773481,Sat Apr 18 09:56:17 PDT 2009,@tommcfly awww ive been trying to get you  played on the radio and they  not playing u ,87
1553074976,Sat Apr 18 13:18:25 PDT 2009,@tommcfly you know you love brazil more than anyone country  *I'm jealous* Love you,83
1553109894,Sat Apr 18 13:23:56 PDT 2009,@tommcfly I hope you'll come to Germany one day... I really would like to see you guys live one day! ,101
1553114498,Sat Apr 18 13:24:39 PDT 2009,@tommcfly Are you ever gonna come to Sweden?!  x,48
1553171840,Sat Apr 18 13:33:39 PDT 2009,"@tommcfly Hey, Tommy!! How was the concert here in Amsterdam? I wish I could be there! but I couldn't  ..... srry for that! Love you xoxo",137
1553390858,Sat Apr 18 14:08:23 PDT 2009,"@tommcfly anyway, i take it your comin home tomorrow? the weathers been rubbish today, well in newcastle anyway ",112
1553516215,Sat Apr 18 14:28:42 PDT 2009,"@tommcfly why didn't you twitter during the gig, tom? im upset  ;)",66
1556378783,Sat Apr 18 22:36:34 PDT 2009,@tommcfly If only there were no time zones....i only start getting your morning tweets as i go to bed...  Solution: move to the US ;),133
1556381047,Sat Apr 18 22:37:05 PDT 2009,"@tommcfly baby, upppppp earlyyyyyy a lotttttt. :O give me your breakfast? ",74
1556483220,Sat Apr 18 23:00:47 PDT 2009,"@tommcfly hey tom, hope you guys have a great tour, i live in australia so i cant go  ",86
1556742603,Sun Apr 19 00:07:57 PDT 2009,"@tommcfly http://twitpic.com/3kygb - uuuh that seems much more delicious that my poor coffee  It's like 4 am here, I didn't even go t ...",137
1556844861,Sun Apr 19 00:37:50 PDT 2009,@tommcfly ive never been on a plane.  so sorry no. how many times have you been on a plane?,91
1556854553,Sun Apr 19 00:40:46 PDT 2009,@tommcfly i always set the alarm off. ALWAYS. ,46
1556854992,Sun Apr 19 00:40:53 PDT 2009,@tommcfly nah. had my sweets taken away though. my poor ears hurt like hell the whole flight. ,94
1556868542,Sun Apr 19 00:45:02 PDT 2009,@tommcfly  TOM!!!! you're a pilot??? since when..u still didn't show us your ray-bans!! ,88
1556943093,Sun Apr 19 01:08:29 PDT 2009,@tommcfly I wish that I could tweet from England. ,50
1556976952,Sun Apr 19 01:19:52 PDT 2009,@tommcfly no i haven't  hey but you guys are back in England!!! Welll it was super great last night!! Can't wait for the next gig!,130
1557033069,Sun Apr 19 01:38:23 PDT 2009,"@tommcfly Yes!!!!! It always beeps, and then I get even more nervous and embarrassed. It's the braces ",102
1557035339,Sun Apr 19 01:39:10 PDT 2009,@tommcfly haha poor you coming from nice warm weather to rubbish cold one ,74
1557074066,Sun Apr 19 01:52:08 PDT 2009,@tommcfly well ive never even been on a plane before ,53
1557210460,Sun Apr 19 02:40:20 PDT 2009,"@tommcfly excuse me, I'm very disappointed that Amsterdam got Down Goes Another One and Sydney didn't!!!    ",108
1557356307,Sun Apr 19 03:36:23 PDT 2009,@tommcfly heeey! Will you please do a Ucap Tour in Ireland? We only see you once a year &amp; that sucks  please tweet back! &amp; make my day! xx,146
1557407101,Sun Apr 19 03:55:43 PDT 2009,@tommcfly My mum cba to make 1 for me   X,41
1557419277,Sun Apr 19 04:00:10 PDT 2009,"@tommcfly mmm Tasty, you'r making me hungry now ",48
1557429067,Sun Apr 19 04:03:34 PDT 2009,"@tommcfly eh, are yous cooming back to oz sooon? cus i didnt get to see yous play last time cus i was grounded.        plss come back =] x",138
1557454389,Sun Apr 19 04:12:54 PDT 2009,@tommcfly i just had dinner  so full had stickii date pudding for pudding hahaha XD,83
